gene_symbol,protein_function,gbm_evidence,subtype_link,druggable,cancer_relevance,verdict,sources
HAPLN2,"Hyaluronan and proteoglycan link protein 2 (Bral1), a CNS-restricted link protein that stabilises hyaluronan-lectican complexes forming the perinodal extracellular matrix at nodes of Ranvier in myelinated fibres.",Database-level only. Human Protein Atlas TCGA analysis classifies HAPLN2 RNA as 'Cancer enriched (Glioblastoma Multiforme)'; however the same resource states HAPLN2 is not prognostic in any cancer. No mechanistic GBM or glioma study was found.,"Strong - the best subtype-biology match in the OLIGO list. HAPLN2 preferentially localises with versican at nodes of Ranvier, is essential for nodal ECM formation and interacts with the nodal protein NF186 directly; in Hapln2-null mice there were no ECM signals at CNS nodes. This is precisely myelinated-axon / CNS extracellular-matrix biology.","None known - a secreted structural ECM link protein with no reported inhibitor, drug or tool compound. Approval status: none known.","Essentially none. The literature is dominated by neurodegeneration - aggregation in Parkinson's models, and HAPLN2 aggregates promoting microglial inflammation during brain ageing.",MODERATE,"['https://www.proteinatlas.org/ENSG00000132702-HAPLN2/cancer', 'https://www.frontiersin.org/journals/aging-neuroscience/articles/10.3389/fnagi.2019.00060/full']"
SLC25A28,"Mitoferrin-2, an inner mitochondrial membrane carrier importing ferrous iron into the matrix for heme biosynthesis and iron-sulfur cluster assembly.","none found. Informative negative: in a diffuse glioma iron-regulatory gene signature study, SLC25A28 was among the 61 genes screened but was excluded by feature selection and is NOT in the final 8-gene survival model.","none found for the OLIGO programme. A mitochondrial carrier, so like PISD its biology fits MTC better than OLIGO; possible subtype-assignment mismatch. The one CNS study found is microglial, not oligodendrocytic.",No inhibitor or tool compound known. Approval status: none known.,Good genetic rationale: 'Mitoferrin2 is a synthetic lethal target for chromosome 8p deleted cancers' (Genome Medicine 2024) - cells that lose the 8p paralog SLC25A37 become dependent on SLC25A28. Also implicated in ferroptosis regulation.,MODERATE,"['https://link.springer.com/article/10.1186/s13073-024-01357-w', 'https://journals.plos.org/plosone/article?id=10.1371%2Fjournal.pone.0166593']"
ATXN10,"Ataxin-10, a cytoplasmic armadillo-repeat protein required for cerebellar neuron survival, implicated in cytokinesis and ciliogenesis; an intronic repeat expansion causes SCA10.",none found,"Weak and generic neural only. No oligodendrocyte, myelin or CNS-ECM evidence found.",None known. Approval status: none known.,"none found. ATXN10 appeared only incidentally within a multi-omic IDH-mutant glioma recurrence-prediction feature set, which is not evidence of a biological role.",WEAK,"['https://pubmed.ncbi.nlm.nih.gov/15201271/', 'https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATXN10']"
ATXN7L3,"Ataxin-7-like 3, the obligate adaptor subunit of the SAGA deubiquitination module that activates USP22 to remove monoubiquitin from histone H2B.",none found,"none found. Chromatin/transcription biology; no myelin, oligodendrocyte or CNS-ECM link reported.","Indirectly, via its partner enzyme. No direct ATXN7L3 ligand exists, but selective USP22 inhibitors have been reported from structure-based virtual screening with anti-tumour activity in vitro. Approval status: preclinical only.",Solid: 'ATXN7L3 and ENY2 Coordinate Activity of Multiple H2B Deubiquitinases Important for Cellular Proliferation and Tumor Growth' (Molecular Cell 2016). Its partner USP22 is a well-studied oncology target.,MODERATE,"['https://www.sciencedirect.com/science/article/pii/S1097276516300132', 'https://www.pnas.org/doi/10.1073/pnas.1807704115']"
ANLN,"Anillin, an actin-binding scaffold that organises the actomyosin contractile ring during cytokinesis and links septins, F-actin and RhoA; also required for septin assembly in non-dividing myelinating oligodendrocytes.","No dedicated glioma or GBM functional study found. Human Protein Atlas reports ANLN is NOT prognostic in glioma (prognostic only in cervical, liver, lung, pancreatic and renal cancer), and GBM mass-spectrometry data were non-significant.","Strong and direct. eLife 2019: 'expression of the cytoskeletal adaptor protein ANLN is strongly enriched in mature oligodendrocytes', Anln mRNA is highest in myelinating oligodendrocytes, and oligodendrocyte-specific knockout causes numerous myelin outfoldings with a 15.5% reduction in nerve conduction velocity. A textbook myelin/oligodendrocyte gene.",No direct ANLN inhibitor or tool compound found. Approval status: none known.,"Extensive outside the CNS: prognostic and functionally oncogenic in breast, gallbladder, oral squamous, liver, lung, pancreatic and renal cancers. It is essentially a proliferation-index gene, which sits awkwardly with a differentiated oligodendrocytic programme.",MODERATE,"['https://elifesciences.org/articles/43888', 'https://www.proteinatlas.org/ENSG00000011426-ANLN/cancer']"
NDUFAF3,Mitochondrial complex I assembly factor that acts with NDUFAF4 to build the Q-module of NADH:ubiquinone oxidoreductase; biallelic mutations cause fatal neonatal mitochondrial disease and cavitating leukoencephalopathy.,none found. Human Protein Atlas: prognostic in renal cancer (KICH) only; GBM protein data non-significant.,"none found for the OLIGO programme in the sense required. NDUFAF3 is an OXPHOS/complex I gene and is therefore MTC-consistent rather than OLIGO-consistent - a subtype-assignment mismatch worth flagging. The only white-matter connection is that NDUFAF3 variants may associate with cavitating leukoencephalopathy, a secondary consequence of complex I failure rather than a myelin-programme role.","No NDUFAF3-specific inhibitor exists. Complex I itself is druggable: IACS-010759 is a selective complex I inhibitor that entered phase I trials in advanced solid tumours and AML, though those trials reported dose-limiting neurotoxicity and lactic acidosis; metformin is a weak complex I inhibitor. Approval status: none approved for this indication.",Weak gene-specific evidence. Complex I dependency as a class is well established in OXPHOS-high tumours.,MODERATE,"['https://www.proteinatlas.org/ENSG00000178057-NDUFAF3/cancer', 'https://www.nature.com/articles/s41591-018-0052-4']"
TSPYL5,"TSPY-like 5, a nucleosome-assembly-protein-family member that binds the deubiquitinase USP7 and thereby suppresses p53 protein levels and function; itself frequently silenced by promoter hypermethylation.","Modest and descriptive. EANO/Neuro-Oncology 2017 abstract on CRISPR targeting of the TSPYL family: TSPYL4 and TSPYL5 showed lower expression in brain tumours than normal brain, and the GBM methylome showed a general increase in methylation at TSPYL loci; the authors note their knockouts showed only a 'mild' effect.","none found. No myelin, oligodendrocyte or CNS-ECM evidence located.","No direct TSPYL5 ligand. The TSPYL5-USP7-p53 axis is indirectly addressable with USP7 inhibitors, which are preclinical. Approval status: none known.","Well studied and context-dependent - oncogene in some settings, tumour suppressor in others: TSPYL5 suppresses p53 via USP7 (Nat Cell Biol 2011); silenced by promoter methylation in gastric cancer; inhibits proliferation in colorectal cancer. This bidirectionality is a real liability for target selection.",MODERATE,"['https://academic.oup.com/neuro-oncology/article/19/suppl_3/iii29/3743907', 'https://www.nature.com/articles/ncb2142']"
KIF18B,"Plus-end-directed kinesin-8 family motor that, with MCAK/KIF2C, regulates astral microtubule dynamics and length during mitosis to support correct spindle assembly and chromosome segregation.","Yes. A 2025 study reports KIF18B 'was highly expressed in various cancers including GBM', increases with tumour grade, and 'was one of the independent risk factors for glioma prognosis', with GSEA enrichment of 'E2F, G2M and other signaling pathways' (https://pmc.ncbi.nlm.nih.gov/articles/PMC11919893/). A separate paper reports 'KIF18B drives the malignant progression of gliomas by activating the Notch pathway' (https://www.sciencedirect.com/science/article/abs/pii/S0898656825003031).","Consistent with PN. GBM expression correlates with E2F and G2M cell-cycle programmes, matching the proliferative/cell-cycle axis of the proneural/NPC-like programme. No PDGFRA/OLIG2-specific or formally subtype-stratified data found — the link is to proliferation generally, not to PN specifically.","None confirmed. No KIF18B-selective inhibitor or tool compound could be verified. Note the well-developed inhibitors (AMG 650, and the compounds described in Nature Cancer 2024) target the paralogue KIF18A, not KIF18B — these are NOT KIF18B agents (https://www.nature.com/articles/s43018-023-00699-5). Status: none known for KIF18B.",Reported as overexpressed and prognostically adverse across multiple tumour types in the same pan-cancer analyses; part of the broadly oncogenic mitotic-kinesin class.,STRONG,"['https://pmc.ncbi.nlm.nih.gov/articles/PMC11919893/', 'https://www.frontiersin.org/journals/genetics/articles/10.3389/fgene.2025.1540342/full', 'https://www.sciencedirect.com/science/article/abs/pii/S0898656825003031', 'https://www.nature.com/articles/s43018-023-00699-5']"
VRK1,"Chromatin-associated serine/threonine kinase (vaccinia-related kinase 1) that phosphorylates histone H3, BAF and p53 to control chromatin condensation, nuclear envelope disassembly and mitotic entry.","Yes, and it is glioblastoma-specific. 'VRK1 Is a Synthetic-Lethal Target in VRK2-Deficient Glioblastoma' — VRK2 is silenced by promoter methylation in a large fraction of GBM, creating paralogue dependence on VRK1 (Cancer Research, AACR: https://aacrjournals.org/cancerres/article-abstract/doi/10.1158/0008-5472.CAN-21-4443/709105/VRK1-is-a-Synthetic-Lethal-Target-in-VRK2; preprint: https://www.biorxiv.org/content/10.1101/2021.12.30.474571v1.full). Separately, 'High expression of VRK1 is related to poor prognosis in glioma' (https://www.sciencedirect.com/science/article/abs/pii/S0344033817307823), and VRK1 depletion sensitises GBM cells to temozolomide + olaparib (https://www.frontiersin.org/journals/cell-and-developmental-biology/articles/10.3389/fcell.2021.683038/full).","Consistent with PN. VRK1 is required for mitotic entry and proliferation and is highly expressed in proliferating neural progenitors. Caveat: the GBM dependency reported is driven by VRK2 promoter methylation status, not by Verhaak transcriptional subtype — no PN-versus-CL stratification of the synthetic lethality was found.","Preclinical only. Verified chemical matter: VRK-IN-1 (commercial tool inhibitor, https://www.medchemexpress.com/vrk-in-1.html) and dihydropteridinone-derived VRK1/CK1δ-ε inhibitors reported in J Med Chem 2024 (https://pubs.acs.org/doi/abs/10.1021/acs.jmedchem.3c02250). Day One Biopharmaceuticals has an announced VRK1 discovery collaboration/licence with Sprint Bioscience (https://ir.dayonebio.com/news-releases/news-release-details/day-one-announces-vrk1-license-agreement-and-research/). No VRK1 inhibitor in clinical trials could be confirmed. Status: preclinical.",Overexpressed and associated with poor outcome in several tumour types; the VRK2-loss paralogue-dependency concept is a recognised synthetic-lethal strategy being pursued industrially.,STRONG,"['https://aacrjournals.org/cancerres/article-abstract/doi/10.1158/0008-5472.CAN-21-4443/709105/VRK1-is-a-Synthetic-Lethal-Target-in-VRK2', 'https://www.biorxiv.org/content/10.1101/2021.12.30.474571v1.full', 'https://academic.oup.com/neuro-oncology/article/24/Supplement_7/vii29/6826037', 'https://www.sciencedirect.com/science/article/abs/pii/S0344033817307823', 'https://www.frontiersin.org/journals/cell-and-developmental-biology/articles/10.3389/fcell.2021.683038/full', 'https://www.medchemexpress.com/vrk-in-1.html', 'https://pubs.acs.org/doi/abs/10.1021/acs.jmedchem.3c02250', 'https://ir.dayonebio.com/news-releases/news-release-details/day-one-announces-vrk1-license-agreement-and-research/']"
CTDNEP1,"Transmembrane serine/threonine phosphatase (with its activator NEP1R1) that dephosphorylates lipin/CTD substrates to control phospholipid synthesis, ER membrane morphology and nuclear envelope assembly (https://www.pnas.org/doi/10.1073/pnas.2321167121).",None found. No published study linking CTDNEP1 to glioblastoma or glioma was identified. The only CNS-tumour evidence is in medulloblastoma: 'Loss of phosphatase CTDNEP1 potentiates aggressive medulloblastoma by triggering MYC amplification and genomic instability' (https://www.nature.com/articles/s41467-023-36400-8).,"None found — and the available biology is a MISMATCH in direction. CTDNEP1 behaves as a recurrently deleted TUMOUR SUPPRESSOR in Group 3 medulloblastoma (loss drives MYC amplification), i.e. the opposite of an inhibitable oncogenic dependency, and there is no evidence tying it to a proliferative/neural-progenitor GBM programme. Flagging this as unsupported for PN.","None known. No inhibitor, drug or tool compound targeting CTDNEP1 was found. (As a tumour suppressor in the only cancer setting studied, inhibition would in any case be the wrong pharmacology.) Status: none known.",Limited and tumour-suppressive: recurrent deletion in aggressive medulloblastoma; a general review of CTDNEP1 research trends notes its roles in lipid/nuclear envelope biology rather than oncogenic signalling (https://www.mdpi.com/2075-1729/13/6/1338).,WEAK,"['https://www.nature.com/articles/s41467-023-36400-8', 'https://www.pnas.org/doi/10.1073/pnas.2321167121', 'https://www.mdpi.com/2075-1729/13/6/1338', 'https://www.genecards.org/card/CTDNEP1', 'https://www.mycancergenome.org/content/gene/ctdnep1/']"
BCCIP,"BRCA2- and CDKN1A(p21)-interacting protein that supports homologous-recombination repair, stabilises stalled replication forks to prevent nascent-DNA degradation, and contributes to spindle/centrosome integrity.","Yes, but in the opposite direction to an oncogenic target. 'Alterations of BCCIP, a BRCA2 interacting protein, in astrocytomas' reports 'BCCIP protein expression was not detectable in ~45% of all astrocytic tumors, and in > 60% in the grade IV glioblastoma', with '~45% glioblastoma have significant (p < 0.01) reduction of BCCIP gene copy number', concluding 'the frequency of lacking BCCIP expression is associated with the aggressiveness of astrocytic tumors' (https://link.springer.com/article/10.1186/1471-2407-9-268).","MISMATCH. BCCIP is LOST, not gained, in high-grade astrocytoma/GBM, so it does not fit a PN proliferative/progenitor dependency that one would inhibit. Its genome-stability role is broadly cell-cycle-adjacent, but no evidence links BCCIP to the PDGFRA/OLIG2/NPC-like proneural programme. Flagging the assigned PN target role as directionally inconsistent with the published GBM data.",None known. No BCCIP inhibitor or tool compound was found. Its HR-deficiency phenotype would more plausibly motivate synthetic-lethal PARP inhibition in BCCIP-low tumours than direct targeting. Status: none known.,Functions as a tumour-suppressor-like genome-stability factor; loss causes replication stress and genomic instability (https://febs.onlinelibrary.wiley.com/doi/10.1002/1873-3468.14406). Not established as an oncogenic driver in any tumour type.,WEAK,"['https://link.springer.com/article/10.1186/1471-2407-9-268', 'https://pubmed.ncbi.nlm.nih.gov/19653894/', 'https://febs.onlinelibrary.wiley.com/doi/10.1002/1873-3468.14406', 'https://omim.org/entry/611883', 'https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCCIP']"
KIF2C,Kinesin-13 family microtubule depolymerase (MCAK) that localises to centromeres/kinetochores and depolymerises microtubule plus ends to correct erroneous kinetochore attachments and ensure faithful chromosome segregation.,"Yes, though largely biomarker/in-silico grade. 'Kinesin family member 2C (KIF2C/MCAK) is a novel marker for prognosis in human gliomas' (https://www.researchgate.net/publication/51842648_Kinesin_family_member_2C_KIF2CMCAK_is_a_novel_marker_for_prognosis_in_human_gliomas), and 'In Silico Analysis of the Correlation of KIF2C with Prognosis and Immune Infiltration in Glioma' reports high KIF2C associates with higher grade and shorter survival (https://onlinelibrary.wiley.com/doi/10.1155/2022/6320828). No GBM-specific functional knockout/xenograft study was found.","Consistent with PN in the generic sense — KIF2C is a mitosis/chromosome-segregation gene and clusters with proliferation signatures. No study stratifying KIF2C by Verhaak subtype (PN vs CL vs MES) was found, so the specific PN assignment is inferred from proliferation biology rather than demonstrated.",None confirmed clinically. No selective KIF2C/MCAK inhibitor with verified clinical or advanced preclinical status was identified. Status: none known.,"Strong and broad. A systematic review and meta-analysis concludes KIF2C/MCAK is a prognostic biomarker with oncogenic potential across many cancers (https://pubmed.ncbi.nlm.nih.gov/38344808/); it is a pan-cancer prognostic and immunosuppressive-microenvironment correlate (https://pmc.ncbi.nlm.nih.gov/articles/PMC9171145/), and drives hepatocellular carcinoma via Wnt/β-catenin–mTORC1 (https://academic.oup.com/proteincell/article/12/10/788/6746922).",MODERATE,"['https://onlinelibrary.wiley.com/doi/10.1155/2022/6320828', 'https://www.researchgate.net/publication/51842648_Kinesin_family_member_2C_KIF2CMCAK_is_a_novel_marker_for_prognosis_in_human_gliomas', 'https://pubmed.ncbi.nlm.nih.gov/38344808/', 'https://pmc.ncbi.nlm.nih.gov/articles/PMC9171145/', 'https://academic.oup.com/proteincell/article/12/10/788/6746922']"
